Filename	Segment	WC	WPS	Sixltr	Dic	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
1.Bennett.1.28.03.docx	1.00	1401.00	16.10	23.70	79.37	53.96	14.06	7.42	2.64	1.78	0.00	2.21	0.79	6.64	7.14	15.56	10.35	2.64	8.85	2.14	3.35	11.49	5.42	2.43	1.43	0.64	0.00	7.78	0.00	0.07	0.43	3.85	2.07	1.78	0.14	0.57	0.64	18.84	3.71	2.21	2.07	3.07	1.86	0.64	5.07	3.00	0.93	0.21	0.71	0.00	0.36	0.29	0.07	0.00	0.00	13.85	2.64	7.28	4.21	2.78	2.28	0.36	0.07	0.29	0.29	0.14	0.14	0.14	0.00	6.14	5.07	0.57	0.29	0.43	0.00	0.14	0.00	0.86	0.00	0.00	13.49
10.Biden.1.17.03.docx	1.00	489.00	14.82	21.68	77.71	52.97	11.66	7.77	0.61	4.70	0.20	1.02	1.23	3.89	7.98	11.66	9.41	0.41	6.75	3.07	2.86	12.07	7.77	2.04	2.66	0.20	0.00	11.45	0.00	0.20	1.02	4.50	2.04	2.45	0.61	1.23	0.20	17.79	0.82	2.86	2.86	1.84	1.23	0.61	6.54	4.09	1.84	0.61	0.82	0.20	0.61	0.61	0.00	0.00	0.00	13.09	1.84	6.13	4.29	3.68	2.25	0.20	0.20	1.84	0.00	0.82	0.20	0.00	0.00	5.93	5.52	0.20	0.00	1.23	0.00	0.20	0.00	1.64	0.00	0.00	14.72
100.Durbin.5.2.06.docx	1.00	1553.00	16.52	28.59	73.54	46.62	9.53	5.28	1.55	2.00	0.13	0.39	1.22	4.25	7.98	10.17	6.95	2.12	5.67	0.77	2.25	12.88	3.99	0.77	2.70	1.55	0.06	8.56	0.13	0.06	1.67	4.89	3.03	1.87	0.32	0.58	0.45	11.20	0.84	1.48	0.97	0.97	0.58	1.42	4.12	1.09	1.03	0.26	0.64	0.00	0.71	0.06	0.13	0.06	0.45	13.39	2.19	6.31	5.15	2.51	1.87	0.45	0.13	0.58	0.39	1.22	0.00	0.00	0.00	6.50	5.99	0.19	0.13	0.26	0.00	0.06	0.00	0.32	0.00	0.32	13.78
101.Durbin.5.10.07.docx	1.00	2068.00	17.38	29.79	75.63	48.07	11.17	5.75	2.22	1.69	0.19	0.87	0.77	5.42	8.12	11.85	7.83	2.95	6.38	1.26	2.22	11.94	4.69	1.02	2.22	1.02	0.00	7.30	0.00	0.15	1.06	4.55	3.05	1.50	0.10	0.53	0.44	14.17	2.32	1.35	1.64	1.69	0.97	0.87	4.59	1.50	1.31	0.29	0.73	0.15	0.77	0.58	0.19	0.00	0.00	11.75	1.45	6.38	3.92	4.35	2.61	0.63	0.39	1.31	0.10	0.97	0.19	0.05	0.05	6.53	5.08	0.44	0.15	0.10	0.00	0.05	0.00	1.35	0.00	0.15	13.83
102.Durbin.10.4.07.docx	1.00	684.00	15.91	39.91	73.68	39.91	7.31	3.51	1.02	1.32	0.00	1.17	0.00	3.80	7.75	9.06	5.70	2.19	4.53	1.32	1.90	11.40	4.09	0.15	3.51	0.29	0.00	6.58	0.00	0.29	1.17	8.04	4.09	3.95	0.58	2.19	0.88	13.30	1.32	2.05	1.46	1.32	1.61	1.32	3.65	1.02	1.61	0.88	0.73	0.00	0.44	0.15	0.15	0.00	0.15	13.60	1.75	6.14	5.99	5.26	3.36	0.29	0.15	0.88	0.44	0.73	0.00	0.00	0.00	7.89	5.12	0.00	0.00	0.00	0.00	0.44	0.00	1.75	0.00	0.00	15.20
103.Durbin.10.26.07.docx	1.00	598.00	15.74	35.79	74.92	41.64	6.35	3.18	0.50	2.01	0.00	0.67	0.00	3.18	9.70	8.36	6.19	0.84	4.85	1.34	2.34	10.87	3.34	0.33	2.68	1.51	0.00	6.69	0.00	0.00	1.17	9.53	5.18	4.35	0.67	2.51	1.00	13.71	0.84	1.67	1.34	1.00	2.01	1.84	4.68	0.84	1.51	0.84	0.50	0.33	0.67	0.33	0.17	0.17	0.00	14.21	1.51	7.36	5.35	4.35	2.68	0.17	0.17	0.67	0.33	0.67	0.00	0.00	0.00	9.03	4.35	0.00	0.00	0.00	0.00	0.50	0.00	3.01	0.00	0.17	17.06
104.Durbin.10.30.07.docx	1.00	1173.00	18.05	37.43	71.18	42.80	10.06	4.86	1.28	1.96	0.00	1.36	0.26	5.20	7.50	10.49	5.63	2.81	4.60	0.60	2.30	10.57	4.60	1.36	1.71	0.85	0.00	6.39	0.17	0.09	0.26	5.88	2.22	3.58	0.43	1.88	0.51	13.98	2.30	1.71	1.02	1.36	1.71	0.85	4.35	1.79	1.28	0.51	0.43	0.17	0.43	0.09	0.26	0.09	0.00	11.25	2.13	4.86	3.92	5.97	4.52	0.09	0.17	0.85	0.00	1.11	0.00	0.09	0.00	5.88	7.33	0.51	0.00	0.00	0.00	0.17	0.00	1.62	0.00	0.09	15.60
105.Edwards.9.12.02.docx	1.00	1198.00	20.31	32.97	74.12	44.91	9.52	5.59	0.58	3.01	0.00	0.92	1.09	3.92	8.10	10.27	7.10	0.83	5.43	2.25	1.59	11.85	5.01	0.83	2.67	0.58	0.00	8.60	0.08	0.17	0.50	9.77	4.84	4.92	0.92	3.17	0.08	18.78	2.00	1.59	2.67	1.67	3.34	2.00	6.51	1.09	0.25	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	9.85	1.34	5.59	2.84	2.67	2.75	0.33	0.33	0.33	0.08	0.33	0.00	0.00	0.08	5.93	4.84	0.08	0.17	0.00	0.00	1.00	0.00	1.00	0.00	0.08	13.11
106.Feingold.12.8.06.docx	1.00	406.00	21.37	30.05	71.67	45.32	8.87	4.19	0.74	3.20	0.00	0.25	0.00	4.68	7.64	11.33	8.37	2.22	6.40	1.23	3.20	10.34	4.68	1.48	1.23	1.23	0.00	6.90	0.00	0.00	0.25	7.64	5.42	2.22	0.00	1.23	0.25	15.27	0.74	1.48	2.46	1.23	1.97	0.99	5.17	2.22	0.49	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	14.78	0.99	9.36	4.43	3.45	2.22	0.99	0.00	0.25	0.00	0.00	0.25	0.00	0.00	5.17	5.91	0.00	0.49	0.00	0.00	0.25	0.00	3.45	0.25	0.00	15.76
107.Feingold.2.2.05.docx	1.00	960.00	21.82	33.96	72.60	43.65	8.85	2.81	1.35	1.04	0.00	0.00	0.42	6.04	8.33	8.96	5.62	1.67	5.42	1.35	2.50	12.60	4.17	0.94	1.88	0.10	0.00	5.21	0.00	0.10	1.15	7.29	3.85	3.44	0.94	1.35	0.42	14.79	2.71	1.25	1.98	2.50	1.25	1.67	2.81	2.60	0.62	0.10	0.31	0.21	0.31	0.10	0.00	0.21	0.00	12.50	1.67	6.25	4.27	4.17	3.44	0.21	0.10	0.42	0.10	0.94	0.00	0.10	0.10	5.00	5.73	0.10	0.00	0.00	0.00	0.62	0.00	1.88	0.00	0.00	13.33
