ID,Region,Name,Party,Date,Venue,Foundation,Reference,Coverage
1456,Iraq,Abercrombie,1,10/9/2002,House,Authority,2,0.0201
1456,Iraq,Abercrombie,1,10/9/2002,House,Fairness,1,0.008
1456,Iraq,Abercrombie,1,10/9/2002,House,Harm,6,0.0539
1456,Iraq,Abercrombie,1,10/9/2002,House,Ingroup,2,0.0189
1456,Iraq,Abercrombie,1,10/9/2002,House,Purity,1,0.0108
1703,Afghanistan,Ackerman,1,9/14/2001,House,Harm,2,0.0597
1788,Iran,Ackerman,1,9/28/2006,House,Authority,1,0.0148
1788,Iran,Ackerman,1,9/28/2006,House,Ingroup,2,0.0284
1874,North Korea,Ackerman,1,11/15/2006,House Hearings,Authority,1,0.0237
1874,North Korea,Ackerman,1,11/15/2006,House Hearings,Harm,1,0.0308
1874,North Korea,Ackerman,1,11/15/2006,House Hearings,Ingroup,1,0.0287
1386,Iran,Ackerman,1,3/6/2007,House Hearings,Ingroup,2,0.0187
1140,Iran,Ackerman,1,7/9/2008,House Hearings,Authority,3,0.0297
1140,Iran,Ackerman,1,7/9/2008,House Hearings,Harm,6,0.0446
1140,Iran,Ackerman,1,7/9/2008,House Hearings,Purity,2,0.0254
1771,Iran,Ackerman,1,9/26/2008,House,Harm,3,0.0404
1771,Iran,Ackerman,1,9/26/2008,House,Ingroup,2,0.0344
1139,Libya,Ackerman,1,3/31/2011,House Hearings,Authority,1,0.0101
1139,Libya,Ackerman,1,3/31/2011,House Hearings,Harm,15,0.1516
1139,Libya,Ackerman,1,3/31/2011,House Hearings,Purity,1,0.0105
944,Iran,Ackerman,1,7/27/2011,House Hearings,Authority,3,0.0268
944,Iran,Ackerman,1,7/27/2011,House Hearings,Fairness,1,0.0081
944,Iran,Ackerman,1,7/27/2011,House Hearings,Harm,6,0.0479
944,Iran,Ackerman,1,7/27/2011,House Hearings,Ingroup,3,0.0253
904,Iran,Ackerman,1,10/14/2011,House Hearings,Authority,3,0.0368
904,Iran,Ackerman,1,10/14/2011,House Hearings,Fairness,3,0.0368
904,Iran,Ackerman,1,10/14/2011,House Hearings,Ingroup,1,0.0104
978,North Korea,Ackerman,1,10/13/1999,House Hearings,Authority,2,0.0076
978,North Korea,Ackerman,1,10/13/1999,House Hearings,Fairness,2,0.0084
978,North Korea,Ackerman,1,10/13/1999,House Hearings,Ingroup,1,0.0043
978,North Korea,Ackerman,1,10/13/1999,House Hearings,Purity,2,0.0095
1984,Afghanistan,AllenME,1,12/6/2001,Senate Hearings,Fairness,5,0.0787
1984,Afghanistan,AllenME,1,12/6/2001,Senate Hearings,Harm,4,0.0837
1984,Afghanistan,AllenME,1,12/6/2001,Senate Hearings,Purity,1,0.0176
1995,Afghanistan,AllenME,1,6/26/2002,Senate Hearings,Authority,3,0.0479
1995,Afghanistan,AllenME,1,6/26/2002,Senate Hearings,Fairness,5,0.0849
1995,Afghanistan,AllenME,1,6/26/2002,Senate Hearings,Harm,4,0.0643
1995,Afghanistan,AllenME,1,6/26/2002,Senate Hearings,Ingroup,2,0.0271
1337,Iraq,AllenME,1,10/10/2002,House,Fairness,1,0.0161
1337,Iraq,AllenME,1,10/10/2002,House,Harm,2,0.0308
1337,Iraq,AllenME,1,10/10/2002,House,Ingroup,2,0.038
1675,Afghanistan,Andrews,1,9/14/2001,House,Authority,1,0.0844
1675,Afghanistan,Andrews,1,9/14/2001,House,Harm,1,0.0743
460,Iran,Andrews,1,3/3/2004,House,Authority,14,0.0229
460,Iran,Andrews,1,3/3/2004,House,Fairness,3,0.004
460,Iran,Andrews,1,3/3/2004,House,Harm,11,0.0182
460,Iran,Andrews,1,3/3/2004,House,Ingroup,8,0.0121
460,Iran,Andrews,1,3/3/2004,House,Purity,4,0.0068
691,Iran,Andrews,1,6/8/2005,House,Authority,4,0.0123
691,Iran,Andrews,1,6/8/2005,House,Fairness,1,0.0031
691,Iran,Andrews,1,6/8/2005,House,Harm,2,0.0053
691,Iran,Andrews,1,6/8/2005,House,Ingroup,3,0.0085
541,Sudan,Andrews,1,4/5/2006,House,Harm,2,0.0324
541,Sudan,Andrews,1,4/5/2006,House,Ingroup,3,0.0601
459,Iran,Andrews,1,2/8/2007,House,Authority,5,0.0762
459,Iran,Andrews,1,2/8/2007,House,Harm,2,0.0283
459,Iran,Andrews,1,2/8/2007,House,Ingroup,1,0.0126
1057,Libya,Andrews,1,6/24/2011,House,Authority,2,0.066
1057,Libya,Andrews,1,6/24/2011,House,Harm,2,0.0619
1057,Libya,Andrews,1,6/24/2011,House,Ingroup,1,0.0325
461,Iran,Andrews,1,11/11/2011,House,Authority,3,0.0097
