"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"3",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Harm",6,0.0539
"6",1703,"Afghanistan","Ackerman",1,"9/14/2001","House","Harm",2,0.0597
"10",1874,"North Korea","Ackerman",1,"11/15/2006","House Hearings","Harm",1,0.0308
"14",1140,"Iran","Ackerman",1,"7/9/2008","House Hearings","Harm",6,0.0446
"16",1771,"Iran","Ackerman",1,"9/26/2008","House","Harm",3,0.0404
"19",1139,"Libya","Ackerman",1,"3/31/2011","House Hearings","Harm",15,0.1516
"23",944,"Iran","Ackerman",1,"7/27/2011","House Hearings","Harm",6,0.0479
"33",1984,"Afghanistan","AllenME",1,"12/6/2001","Senate Hearings","Harm",4,0.0837
"37",1995,"Afghanistan","AllenME",1,"6/26/2002","Senate Hearings","Harm",4,0.0643
"40",1337,"Iraq","AllenME",1,"10/10/2002","House","Harm",2,0.0308
"43",1675,"Afghanistan","Andrews",1,"9/14/2001","House","Harm",1,0.0743
"46",460,"Iran","Andrews",1,"3/3/2004","House","Harm",11,0.0182
"51",691,"Iran","Andrews",1,"6/8/2005","House","Harm",2,0.0053
"53",541,"Sudan","Andrews",1,"4/5/2006","House","Harm",2,0.0324
"56",459,"Iran","Andrews",1,"2/8/2007","House","Harm",2,0.0283
"59",1057,"Libya","Andrews",1,"6/24/2011","House","Harm",2,0.0619
"63",461,"Iran","Andrews",1,"11/11/2011","House","Harm",2,0.0061
"67",1622,"Afghanistan","Baca",1,"9/14/2001","House","Harm",1,0.0372
"72",1457,"Iraq","Baird",1,"10/9/2002","House","Harm",3,0.0377
"74",1749,"Afghanistan","Baldacci",1,"9/14/2001","House","Harm",1,0.039
"77",1339,"Iraq","Baldacci",1,"10/10/2002","House","Harm",1,0.0129
"81",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Harm",2,0.059
"85",741,"Iraq","Baldwin",1,"3/6/2003","House","Harm",8,0.1481
"91",369,"Iraq","Bayh",1,"10/8/2002","Senate","Harm",11,0.0458
"96",1459,"Iraq","Becerra",1,"10/9/2002","House","Harm",14,0.1729
"101",6,"Syria","Begich",1,"8/1/2013","Senate","Harm",6,0.0494
"104",1593,"Afghanistan","Berkley",1,"9/14/2001","House","Harm",3,0.1355
"106",1460,"Iraq","Berkley",1,"10/9/2002","House","Harm",2,0.0446
"110",1362,"Iraq","Berman",1,"3/23/2000","House Hearings","Harm",3,0.0744
"115",1578,"Afghanistan","Berman",1,"9/14/2001","House","Harm",4,0.0658
"117",1422,"Iraq","Berman",1,"10/10/2002","House","Harm",3,0.062
"120",1377,"Iran","Berman",1,"3/15/2007","House Hearings","Harm",5,0.0205
"129",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Harm",3,0.0062
"134",1141,"Libya","Berman",1,"3/31/2011","House Hearings","Harm",6,0.0367
"137",1272,"Libya","Berman",1,"5/25/2011","House Hearings","Harm",11,0.08
"139",997,"Libya","Berman",1,"6/3/2011","House","Harm",8,0.0413
"143",1067,"Libya","Berman",1,"6/24/2011","House","Harm",3,0.0352
"147",1965,"Russia","Berman",1,"7/7/2011","House Hearings","Harm",1,0.0073
"151",13,"Iran","Berman",1,"10/14/2011","House Hearings","Harm",1,0.0064
"159",194,"Iran","Biden",1,"2/22/2000","Senate","Harm",2,0.0081
"163",2276,"Russia","Biden",1,"3/1/2000","Senate Hearings","Harm",2,0.0239
"168",56,"North Korea","Biden",1,"3/7/2001","Senate","Harm",5,0.0141
"172",2292,"North Korea","Biden",1,"5/23/2001","Senate Hearings","Harm",2,0.014
"176",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Harm",12,0.0383
"181",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Harm",10,0.0159
"186",1997,"Afghanistan","Biden",1,"6/26/2002","Senate Hearings","Harm",2,0.0047
"190",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Harm",22,0.0118
"195",517,"Iraq","Biden",1,"10/9/2002","Senate","Harm",19,0.0922
"199",405,"Iraq","Biden",1,"10/10/2002","Senate","Harm",57,0.0593
"202",10,"Iraq","Biden",1,"1/17/2003","Senate","Harm",4,0.0703
"207",11,"Iraq","Biden",1,"1/28/2003","Senate","Harm",28,0.0777
"212",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Harm",2,0.004
"217",8,"North Korea","Biden",1,"2/6/2003","Senate","Harm",8,0.0175
"222",2392,"North Korea","Biden",1,"3/6/2003","Senate Hearings","Harm",4,0.009
"226",2032,"Iran","Biden",1,"10/28/2003","Senate Hearings","Harm",1,0.0035
"230",2006,"Syria","Biden",1,"10/30/2003","Senate Hearings","Harm",1,0.0022
"233",2137,"Sudan","Biden",1,"6/15/2004","Senate Hearings","Harm",4,0.0481
"236",19,"Russia","Biden",1,"6/17/2004","Senate","Harm",1,0.0086
"243",18,"Iran","Biden",1,"7/22/2004","Senate","Harm",1,0.0102
"248",2469,"Sudan","Biden",1,"9/9/2004","Senate Hearings","Harm",4,0.0212
"251",2477,"Sudan","Biden",1,"9/28/2005","Senate Hearings","Harm",2,0.0072
"256",2050,"Iran","Biden",1,"3/29/2007","Senate Hearings","Harm",3,0.0164
"260",2408,"Sudan","Biden",1,"4/11/2007","Senate Hearings","Harm",4,0.0084
"262",93,"Sudan","Biden",1,"5/24/2007","Senate","Harm",1,0.0228
"263",94,"Iraq","Biden",1,"5/24/2007","Senate","Harm",1,0.0723
"266",2294,"Russia","Biden",1,"6/21/2007","Senate Hearings","Harm",4,0.0163
"270",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Harm",6,0.013
"275",2044,"Iran","Biden",1,"7/9/2008","Senate Hearings","Harm",1,0.0032
"279",58,"North Korea","Biden",1,"9/22/2008","Senate","Harm",1,0.0127
"282",188,"Iraq","Biden",1,"2/12/1998","Senate","Harm",7,0.0341
"286",55,"Kosovo","Biden",1,"3/6/1998","Senate","Harm",2,0.0404
"290",2148,"Kosovo","Biden",1,"5/6/1998","Senate Hearings","Harm",4,0.0108
"294",334,"Iran","Biden",1,"5/22/1998","Senate","Harm",4,0.0112
"299",54,"Kosovo","Biden",1,"6/17/1998","Senate","Harm",8,0.032
"303",2155,"Kosovo","Biden",1,"6/24/1998","Senate Hearings","Harm",4,0.0185
"307",57,"Kosovo","Biden",1,"10/14/1998","Senate","Harm",5,0.0177
"311",247,"Kosovo","Biden",1,"3/22/1999","Senate","Harm",22,0.0311
"315",289,"Kosovo","Biden",1,"3/23/1999","Senate","Harm",4,0.0251
"318",413,"Iraq","Bingaman",1,"10/10/2002","Senate","Harm",7,0.0737
"320",15,"Iraq","Bingaman",1,"1/30/2003","Senate","Harm",8,0.0869
"321",1461,"Iraq","Bishop",1,"10/9/2002","House","Harm",3,0.0419
"324",1564,"Afghanistan","Blumenauer",1,"9/14/2001","House","Harm",2,0.1007
"326",1327,"Iraq","Blumenauer",1,"10/10/2002","House","Harm",3,0.096
"328",830,"Sudan","Blumenauer",1,"7/21/2004","House","Harm",1,0.0266
"329",1799,"North Korea","Blumenauer",1,"2/17/2005","House Hearings","Harm",1,0.0205
"335",713,"Iran","Blumenauer",1,"4/26/2006","House","Harm",4,0.0294
"339",1776,"Iran","Blumenauer",1,"9/28/2006","House","Harm",1,0.0118
"352",1739,"Afghanistan","Borski",1,"9/14/2001","House","Harm",4,0.0742
"355",1226,"Iraq","Borski",1,"10/9/2002","House","Harm",2,0.0302
"359",1465,"Iraq","Boswell",1,"10/9/2002","House","Harm",2,0.0161
"363",2493,"Sudan","Boxer",1,"6/11/2002","Senate Hearings","Harm",4,0.1319
"366",1998,"Afghanistan","Boxer",1,"6/26/2002","Senate Hearings","Harm",1,0.009
"368",2183,"Iraq","Boxer",1,"7/31/2002","Senate Hearings","Harm",1,0.0193
"370",427,"Iraq","Boxer",1,"10/10/2002","Senate","Harm",6,0.0403
"373",2008,"Syria","Boxer",1,"10/30/2003","Senate Hearings","Harm",3,0.0328
"376",344,"Syria","Boxer",1,"11/11/2003","Senate","Harm",2,0.0139
"382",2473,"Sudan","Boxer",1,"9/9/2004","Senate Hearings","Harm",3,0.0313
"383",2233,"Syria","Boxer",1,"11/9/2011","House Hearings","Harm",5,0.0881
"387",1227,"Iraq","Boyd",1,"10/9/2002","House","Harm",7,0.1233
"388",1616,"Afghanistan","BrownFL",1,"9/14/2001","House","Harm",1,0.0797
"392",1228,"Iraq","BrownFL",1,"10/9/2002","House","Harm",14,0.0882
"396",1325,"Iraq","BrownFL",1,"10/10/2002","House","Harm",4,0.0665
"398",1321,"Iraq","BrownOH",1,"10/10/2002","House","Harm",4,0.0979
"399",569,"Iraq","BrownOH",1,"2/5/2003","House","Harm",3,0.191
"401",570,"Iraq","BrownOH",1,"2/27/2003","House","Harm",1,0.0264
"404",571,"Iraq","BrownOH",1,"3/11/2003","House","Harm",7,0.0817
"407",319,"Iraq","Byrd",1,"9/5/2002","Senate","Harm",3,0.0722
"409",386,"Iraq","Byrd",1,"9/20/2002","Senate","Harm",6,0.0526
"412",44,"Iraq","Byrd",1,"9/20/2002","Senate","Harm",20,0.0824
"416",45,"Iraq","Byrd",1,"9/26/2002","Senate","Harm",13,0.0549
"419",355,"Iraq","Byrd",1,"10/7/2002","Senate","Harm",29,0.1471
"423",371,"Iraq","Byrd",1,"10/8/2002","Senate","Harm",10,0.0317
"428",406,"Iraq","Byrd",1,"10/10/2002","Senate","Harm",62,0.0533
"432",41,"Iraq","Byrd",1,"1/29/2003","Senate","Harm",18,0.1036
"436",354,"Syria","Byrd",1,"11/11/2003","Senate","Harm",1,0.0184
"439",64,"Kosovo","Byrd",1,"10/14/1998","Senate","Harm",6,0.0353
"443",477,"Iraq","Cantwell",1,"10/10/2002","Senate","Harm",11,0.0495
"447",1231,"Iraq","Capuano",1,"10/9/2002","House","Harm",5,0.0576
"448",1414,"Iraq","Capuano",1,"10/10/2002","House","Harm",2,0.1227
"449",847,"Sudan","Capuano",1,"7/21/2004","House","Harm",4,0.095
"452",537,"Sudan","Capuano",1,"4/5/2006","House","Harm",1,0.0403
"454",1015,"Libya","Capuano",1,"6/3/2011","House","Harm",7,0.2172
"457",1700,"Afghanistan","Cardin",1,"9/14/2001","House","Harm",1,0.0252
"462",1470,"Iraq","Cardin",1,"10/9/2002","House","Harm",2,0.0282
"464",546,"Sudan","Cardin",1,"4/5/2006","House","Harm",2,0.0535
"465",724,"Iran","Cardin",1,"4/26/2006","House","Harm",2,0.0175
"468",2418,"Sudan","Cardin",1,"4/11/2007","Senate Hearings","Harm",4,0.0525
"469",2441,"Sudan","Cardin",1,"4/23/2008","Senate Hearings","Harm",1,0.0149
"481",46,"Russia","Cardin",1,"2/16/2012","Senate","Harm",2,0.0128
"486",203,"Syria","Cardin",1,"2/26/2012","Senate","Harm",5,0.0408
"490",2254,"Syria","Cardin",1,"4/19/2012","House Hearings","Harm",1,0.0117
"499",472,"Iraq ","Carper",1,"10/10/2002","Senate","Harm",17,0.0728
"502",1232,"Iraq","Carson",1,"10/9/2002","House","Harm",16,0.1066
"504",2053,"Iran","Casey",1,"3/29/2007","Senate Hearings","Harm",1,0.0155
"508",2305,"Russia","Casey",1,"9/17/2008","Senate Hearings","Harm",1,0.0112
"512",2385,"North Korea","Casey",1,"6/11/2009","Senate Hearings","Harm",1,0.0266
"517",2071,"Iran","Casey",1,"5/11/2011","Senate Hearings","Harm",2,0.0059
"523",2235,"Syria","Casey",1,"11/9/2011","House Hearings","Harm",6,0.0194
"527",50,"Iran","Casey",1,"12/7/2011","Senate","Harm",1,0.0118
"536",1709,"Afghanistan","Christensen",1,"9/14/2001","House","Harm",5,0.0855
"539",1472,"Iraq","Christensen",1,"10/9/2002","House","Harm",10,0.1273
"542",1326,"Iraq","Christensen",1,"10/10/2002","House","Harm",2,0.0656
"543",869,"Sudan","Christensen",1,"7/30/2007","House","Harm",2,0.0551
"548",959,"Syria","Cicilline",1,"3/20/2013","House Hearings","Harm",1,0.0392
"551",1730,"Afghanistan","Clayton",1,"9/14/2001","House","Harm",1,0.0267
"553",1314,"Iraq","Clayton",1,"10/10/2002","House","Harm",3,0.1478
"555",357,"Iraq","Cleland",1,"10/7/2002","Senate","Harm",17,0.1199
"558",51,"Iraq","Cleland",1,"3/17/1998","Senate","Harm",22,0.065
"561",1715,"Afghanistan","Clement",1,"9/14/2001","House","Harm",1,0.0585
"565",66,"Sudan","Clinton",1,"5/25/2006","Senate","Harm",4,0.0153
"569",65,"Sudan","Clinton",1,"12/7/2006","Senate","Harm",1,0.0163
"572",464,"Iraq","Clinton",1,"10/10/2002","Senate","Harm",12,0.0489
"579",1970,"Russia","Cohen",1,"7/7/2011","House Hearings","Harm",3,0.0099
"586",478,"Iraq","Conrad",1,"10/10/2002","Senate","Harm",15,0.0675
"590",2391,"Iraq","Conyers",1,"3/23/2000","House Hearings","Harm",5,0.0238
"595",1758,"Afghanistan","Conyers",1,"9/14/2001","House","Harm",8,0.0613
"598",1413,"Iraq","Conyers",1,"10/10/2002","House","Harm",3,0.0922
"599",834,"Sudan","Conyers",1,"7/21/2004","House","Harm",2,0.0284
"603",2439,"Sudan","Corker",1,"4/23/2008","Senate Hearings","Harm",3,0.0278
"605",2390,"North Korea","Corker",1,"6/11/2009","Senate Hearings","Harm",3,0.0737
"607",2453,"Sudan","Corker",1,"7/30/2009","Senate Hearings","Harm",1,0.012
"610",2222,"Libya","Corker",1,"3/31/2011","Senate Hearings","Harm",3,0.0418
"612",2261,"Libya","Corker",1,"4/6/2011","Senate Hearings","Harm",3,0.0365
"615",2211,"Libya","Corker",1,"6/28/2011","Senate Hearings","Harm",6,0.0408
"620",2094,"Iran","Corker",1,"3/28/2012","Senate Hearings","Harm",1,0.0391
"625",497,"Syria","Corker",1,"9/9/2013","Senate","Harm",2,0.0104
"630",529,"Iraq","Corzine",1,"10/9/2002","Senate","Harm",8,0.0402
"634",430,"Iraq","Corzine",1,"10/10/2002","Senate","Harm",2,0.0459
"637",348,"Syria","Corzine",1,"11/11/2003","Senate","Harm",2,0.0271
"644",70,"Sudan","Corzine",1,"7/22/2004","Senate","Harm",6,0.0499
"646",2465,"Sudan","Corzine",1,"9/9/2004","Senate Hearings","Harm",2,0.0102
"649",73,"Sudan","Corzine",1,"5/10/2005","Senate","Harm",3,0.0224
"654",1233,"Iraq","Costello",1,"10/9/2002","House","Harm",6,0.0894
"660",1662,"Afghanistan","Crowley",1,"9/14/2001","House","Harm",1,0.0134
"664",716,"Iran","Crowley",1,"4/26/2006","House","Harm",1,0.015
"667",1151,"Iran","Crowley",1,"7/9/2008","House Hearings","Harm",2,0.0345
"673",1475,"Iraq","Cummings",1,"10/9/2002","House","Harm",2,0.0301
"677",823,"Sudan","Cummings",1,"5/13/2004","House","Harm",5,0.0506
"681",580,"Sudan","Cummings",1,"10/29/2007","House","Harm",2,0.0339
"684",74,"0","Daschle",1,"9/14/2001","Senate","Harm",3,0.0398
"689",410,"Iraq","Daschle",1,"10/10/2002","Senate","Harm",13,0.0519
"692",340,"Syria","Daschle",1,"11/11/2003","Senate","Harm",3,0.0301
"696",187,"Iraq","Daschle",1,"2/12/1998","Senate","Harm",2,0.0194
"700",77,"Kosovo","Daschle",1,"10/12/1998","Senate","Harm",3,0.0395
