ID,Region,Name,Party,Date,Venue,Foundation,Reference,Coverage
1456,Iraq,Abercrombie,D,10/9/2002,House,Authority,2,0.0201
1456,Iraq,Abercrombie,D,10/9/2002,House,Fairness,1,0.008
1456,Iraq,Abercrombie,D,10/9/2002,House,Harm,6,0.0539
1456,Iraq,Abercrombie,D,10/9/2002,House,Ingroup,2,0.0189
1456,Iraq,Abercrombie,D,10/9/2002,House,Purity,1,0.0108
1703,Afghanistan,Ackerman,D,9/14/2001,House,Harm,2,0.0597
1788,Iran,Ackerman,D,9/28/2006,House,Authority,1,0.0148
1788,Iran,Ackerman,D,9/28/2006,House,Ingroup,2,0.0284
1874,North Korea,Ackerman,D,11/15/2006,House Hearings,Authority,1,0.0237
1874,North Korea,Ackerman,D,11/15/2006,House Hearings,Harm,1,0.0308
1874,North Korea,Ackerman,D,11/15/2006,House Hearings,Ingroup,1,0.0287
1386,Iran,Ackerman,D,3/6/2007,House Hearings,Ingroup,2,0.0187
1140,Iran,Ackerman,D,7/9/2008,House Hearings,Authority,3,0.0297
1140,Iran,Ackerman,D,7/9/2008,House Hearings,Harm,6,0.0446
1140,Iran,Ackerman,D,7/9/2008,House Hearings,Purity,2,0.0254
1771,Iran,Ackerman,D,9/26/2008,House,Harm,3,0.0404
1771,Iran,Ackerman,D,9/26/2008,House,Ingroup,2,0.0344
1139,Libya,Ackerman,D,3/31/2011,House Hearings,Authority,1,0.0101
1139,Libya,Ackerman,D,3/31/2011,House Hearings,Harm,15,0.1516
1139,Libya,Ackerman,D,3/31/2011,House Hearings,Purity,1,0.0105
944,Iran,Ackerman,D,7/27/2011,House Hearings,Authority,3,0.0268
944,Iran,Ackerman,D,7/27/2011,House Hearings,Fairness,1,0.0081
944,Iran,Ackerman,D,7/27/2011,House Hearings,Harm,6,0.0479
944,Iran,Ackerman,D,7/27/2011,House Hearings,Ingroup,3,0.0253
904,Iran,Ackerman,D,10/14/2011,House Hearings,Authority,3,0.0368
904,Iran,Ackerman,D,10/14/2011,House Hearings,Fairness,3,0.0368
904,Iran,Ackerman,D,10/14/2011,House Hearings,Ingroup,1,0.0104
978,North Korea,Ackerman,D,10/13/1999,House Hearings,Authority,2,0.0076
978,North Korea,Ackerman,D,10/13/1999,House Hearings,Fairness,2,0.0084
978,North Korea,Ackerman,D,10/13/1999,House Hearings,Ingroup,1,0.0043
978,North Korea,Ackerman,D,10/13/1999,House Hearings,Purity,2,0.0095
1984,Afghanistan,AllenME,D,12/6/2001,Senate Hearings,Fairness,5,0.0787
1984,Afghanistan,AllenME,D,12/6/2001,Senate Hearings,Harm,4,0.0837
1984,Afghanistan,AllenME,D,12/6/2001,Senate Hearings,Purity,1,0.0176
1995,Afghanistan,AllenME,D,6/26/2002,Senate Hearings,Authority,3,0.0479
1995,Afghanistan,AllenME,D,6/26/2002,Senate Hearings,Fairness,5,0.0849
1995,Afghanistan,AllenME,D,6/26/2002,Senate Hearings,Harm,4,0.0643
